"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE261F08DV4","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23I 7.62 LOA 31JN28 FVRS1LAC","99.8499","99.8499","7.6400","7.6400","75.00","3"
"INE062A08264","STATE BANK OF INDIA SR III 5.83 BD 26OT30 FVRS10LAC","96.9799","96.9799","8.3950","8.3950","60.00","1"
"INE756I08256","HDB FINANCIAL SERVICES LIMITED SR 19 8.40 BD 22DC33 FVRS1LAC","99.7931","100.0000","8.4117","8.3800","53.60","5"
"INE040A08773","HDFC BANK LIMITED SR AA010 7.80 NCD 06SP32 FVRS10LAC","100.5821","100.5821","7.6900","7.6900","50.00","1"
"INE296A07SZ2","BAJAJ FINANCE LIMITED 8.06 NCD 15MY29 FVRS1LAC","100.0206","100.0206","8.0157","8.0387","50.00","2"
"INE219X07454","INDIA GRID TRUST SR Y 7.87 NCD 24FB27 FVRS1LAC","100.0000","100.0000","8.1003","8.1003","50.00","1"
"INE261F08EI9","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25A 7.70 BD 30SP27 FVRS1LAC","100.1642","100.1642","7.6500","7.6500","50.00","2"
"INE115A07QN4","LIC HOUSING FINANCE LTD TR 437 7.69 NCD 06FB34 FVFRS1LAC","100.1557","100.1557","7.6500","7.6500","50.00","1"
"INE296A07SQ1","BAJAJ FINANCE LIMITED 8 LOA 17OT28 FVRS1LAC","99.7631","99.7805","8.0450","8.0400","50.00","2"
"INE861G08076","FOOD CORPORATION OF INDIA IX 6.65 BD 23OT30 FVRS10LAC LOAUPTO20OT20","95.5229","95.5300","7.5585","7.5570","50.00","2"
"INE861G08043","FOOD CORPORATION OF INDIA SERIES VII 8.95 BD 01MR29 FVRS10LAC","105.1051","105.1995","7.5760","7.5519","50.00","2"
"INE115A07QL8","LIC HOUSING FINANCE LTD 7.64 NCD 26JL33 FVRS10LAC","99.8189","99.8189","7.6650","7.6650","45.00","1"
"INE261F08EJ7","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 25B 7.64 BD 06DC29 FVRS1LAC","100.2000","100.2000","7.6001","7.6001","45.00","2"
"INE537P07745","INDIA INFRADEBT LIMITED SR I TR I 8.06 NCD 13AG29 FVRS1LAC","99.7460","99.7460","8.1100","8.1100","45.00","1"
"INE261F08EC2","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24 SB1 7.63 BD 27SP28 FVRS1LAC","99.9357","99.9357","7.6300","7.6300","30.00","1"
"INE134E08LZ0","POWER FINANCE CORPORATION LIMITED SR 222 7.58 BD 15JN26 FVRS10LAC","99.8796","99.8796","7.6200","7.6200","25.00","1"
"INE134E08JE9","POWER FINANCE CORPORATION LIMITED SR-169 B 7.3 BD 07AG27 FVRS10LAC","99.2722","99.2722","7.5700","7.5700","25.00","1"
"INE121A07SE7","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED SR 644 8.64% NCD 26JU29 FVRS1LAC","100.1765","100.1765","8.5850","8.5850","25.00","1"
"INE261F08EF5","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24E 7.80 BD 15MR27 FVRS1LAC","100.2844","100.2844","7.6500","7.6500","25.00","1"
"INE514E08GC2","EXPORT IMPORT BANK OF INDIA SR Z02 7.40 BD 14MR29 FVRS1LAC","100.0000","100.0000","7.3797","7.3797","25.00","1"
"INE134E08JI0","POWER FINANCE CORPORATION LIMITED SR-172 7.74 BD 29JN28 FVRS10LAC","100.4296","100.4296","7.5850","7.5700","25.00","1"
"INE261F08EG3","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR F24 7.68 BD 30AP29 FVRS1LAC","100.2000","100.2000","7.6121","7.6121","25.00","1"
"INE062A08231","STATE BANK OF INDIA SR I 6.80 BD 21AG35 FVRS10LAC","96.0000","96.0000","7.6363","7.6363","25.00","1"
"INE556F08KA6","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR III 7.25 BD 31JL25 FVRS10LAC","99.5631","99.5631","7.7100","7.7100","25.00","1"
"INE377Y07334","BAJAJ HOUSING FINANCE LIMITED 7.42 NCD 12AG25 FVRS10LAC","99.4965","99.4965","7.9100","7.9100","25.00","1"
"INE062A08272","STATE BANK OF INDIA SR II 7.73  BD PERPETUAL FVRS10LAC","99.1716","99.2160","8.3360","8.3000","25.00","3"
"INE033L07IC6","TATA CAPITAL HOUSING FINANCE LIMITED SR A 7.8445 NCD 18SP26 FVRS1LAC","99.7847","99.7847","7.9818","7.9740","25.00","1"
"INE861G08050","FOOD CORPORATION OF INDIA SRVIII 7.64 BD 12DC29 FVRS10LAC LOAUPTO15DC19","100.2280","100.2500","7.5711","7.5600","23.00","2"
"INE261F08DO9","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 23A 7.40 BD 30JN26 FVRS10LAC","99.5012","99.5012","7.7000","7.7000","20.00","1"
"INE261F08EA6","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR 24A 7.5 BD 31AU26 FVRS1LAC","99.6086","99.6086","7.6900","7.6900","20.00","1"
"INE296A07SF4","BAJAJ FINANCE LIMITED 7.90 SR 286 TR 9 LOA 17NV25 FVRS10LAC","99.7710","99.7710","8.0250","8.0250","20.00","1"
"INE549K08483","MUTHOOT FINCORP LIMITED 10.05 NCD 29AP30 FVRS1LAC","99.2400","99.2500","10.7071","10.7132","20.00","2"
"INE040A08724","HDFC BANK LIMITED SR V004 8.55 NCD 27MR29 FVRS10LAC","102.6919","102.6919","7.8200","7.8200","15.00","1"
"INE414G07JB8","MUTHOOT FINANCE LIMITED 8.90 NCD 17JU27 FVRS1LAC","99.6583","99.6633","9.0271","9.0250","12.00","2"
"INE062A08413","STATE BANK OF INDIA SR 2 8.34 PP BD FVRS1CR","101.7318","101.7300","8.0537","8.0540","11.00","2"
"INE861G08027","FOOD CORPORATION OF INDIA 8.8 BD 22MR28 FVRS10LAC LOA UPTO 18JU13","103.8120","103.8120","7.5528","7.5500","10.00","1"
"INE537P07703","INDIA INFRADEBT LIMITED SR II TR III 8.04 NCD 25AP33 FVRS10LAC","100.0000","100.0000","8.0264","8.0264","10.00","1"
"INE235P07993","L&T FINANCE LIMITED SR E FY 2019-20 BR NCD 25MR25 FVRS10LAC","144.4532","144.4532","8.4850","8.3700","6.50","1"
"INE733E07JT8","NTPC LIMITED SR-3A 7.37 BD 05OT35 FVRS1000","118.2301","118.2301","5.1850","5.1800","5.71","1"
"INE153A08097","MAHANAGAR TELEPHONE NIGAM LIMITED SR VI-2020 6.85 LOA 20DC30 FVRS10LAC","96.0441","96.0441","7.7800","7.7800","5.00","1"
"INE556F08KD0","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA SR VI 7.75 NCD 27OT25 FVRS10LAC","99.9624","99.9624","7.7400","7.7400","5.00","1"
"INE040A08666","HDFC BANK LIMITED SR US002 7.80 NCD 03MY33 FVRS1LAC","100.7351","100.7351","7.6700","7.6700","5.00","1"
"INE756I07EW5","HDB FINANCIAL SERVICES LIMITED SR 203 8.1293 NCD 16NV28 FVRS1LAC","99.7429","99.7429","8.1875","8.1750","5.00","1"
"INE028A08265","BANK OF BARODA SR XVII 7.95 BD PERPETUAL FVRS1CR","99.1732","99.1732","8.3250","8.3100","5.00","1"
"INE053F07868","INDIAN RAILWAY FINANCE CORPORATION LIMITED SR-106 7.04 BD 03MR26 FVRS10LACLOAUPTO 05AP16","102.6980","102.6980","5.2800","5.2700","5.00","1"
"INE414G07IR6","MUTHOOT FINANCE LIMITED 8.78 NCD 20MY27 FVRS1LAC","99.5158","99.5158","8.9250","8.9600","5.00","1"
"INE891K08208","AXIS FINANCE LIMITED SR 04 8.35 NCD 23JU34 FVRS1LAC","100.2792","100.3115","8.3001","8.2952","4.00","2"
"INE860H08EL8","ADITYA BIRLA FINANCE LIMITED SR SA1 8.31 NCD 11JL34 FVRS1LAC","99.9591","100.0000","8.3136","8.3100","4.00","2"
"INE860H07IW8","ADITYA BIRLA FINANCE LIMITED SR K1 8.16 NCD 14FB29 FVRS1LAC","99.8189","99.8189","8.1800","8.1800","2.50","1"
"INE945S07140","KUDGI TRANSMISSION LIMITED SR-L 9.14 NCD 25AP29 FVRS10LAC","101.0785","101.3850","8.6650","8.5300","1.80","2"
"INE756I08272","HDB FINANCIAL SERVICES LIMITED SR 2024 P/1/8 8.55 NCD PP FVRS1CR","100.2500","100.2500","8.1731","8.5000","1.00","1"
"INE0Z5915023","CHOPPER 06 2024 SERIES A2 PTC 10JUL24","100.0000","100.0000","13.2333","13.2339","0.89","6"
"INE918K07HU4","NUVAMA WEALTH FINANCE LIMITED SR J4J105A BR NCD 11AP25 FVRS10LAC","132.6600","132.7100","12.0873","15.7600","0.60","5"
"INE540P07434","U.P. POWER CORPORATION LIMITED SR I STRPP H 9.70 BD 22MR32 FVRS10LAC","105.5396","105.5396","8.9500","8.9500","0.40","1"
"INE516Y07444","PIRAMAL CAPITAL & HOUSING FINANCE LIMITED 6.75 LOA 26SP31 FVRS875","86.8523","86.8875","11.0189","10.9600","0.38","3"
"INE248U07ER8","360 ONE PRIME LIMITED SR VIII TR I 9.66 NCD 18JN29 FVRS1000","100.6029","100.6029","9.6057","9.4500","0.30","2"
"INE658F08102","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR D 8.95 BD 20DC30 FVRS1LAC","100.3076","99.9000","9.2146","9.2705","0.29","2"
"INE857Q08032","TATA CAPITAL LIMITED SERIES A 7.75 BD 26JL30 FVRS10LAC","97.4654","97.4654","8.3000","8.3000","0.20","1"
"INE261F08CZ7","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR PD5 6.97 LOA 17MR31 FVRS10LAC","97.4739","97.4739","7.6050","7.5900","0.20","1"
"INE261F08AE6","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR-3 8.2 BD 16MR28 FVRS10LAC","102.3362","102.3362","7.6050","7.5900","0.20","1"
"INE261F07032","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT SR-IIB 7.64 BD23MR31FVRS1000LOAUPTO22MR16","111.5282","111.5282","5.2550","5.2500","0.20","1"
"INE053F07900","INDIAN RAILWAY FINANCE CORPORATION LIMITED SR-108 A 7.64 BD 22MR31 FVRS1000 LOAUPTO17M16","111.5596","111.5596","5.2550","5.2500","0.20","1"
"INE342T07494","NAVI FINSERV LIMITED 10.50 NCD 18JU27 FVRS1LAC","99.5000","99.5000","10.8751","11.2406","0.10","1"
"INE0GCN07039","ADANI AIRPORT HOLDINGS LIMITED 9.95 NCD 12JU28 FVRS1LAC","100.0000","100.0000","9.8776","9.9311","0.10","2"
"INE306N08276","TATA CAPITAL LIMITED SR-D 8.9 NCD PERPETUAL FVRS10LAC","100.9736","100.9736","8.5500","8.5500","0.10","1"
"INE957N08045","HERO FINCORP LIMITED SERIES 030 9.81 NCD 24NV28 FVRS10LAC","102.5000","102.5000","9.0600","9.0600","0.10","1"
"INE721A07SA2","SHRIRAM FINANCE LIMITED SR PPD XXII OP 3 9.20 NCD 22MY29 FVRS1LAC","100.3852","100.3852","9.0800","9.0800","0.10","1"
"INE721A07NX5","SHRIRAM FINANCE LIMITED TR-I SR-V 9.4 NCD 12JL28 FVRS1000","100.8149","100.8149","9.1400","9.1400","0.10","1"
"INE896L07975","INDOSTAR CAPITAL FINANCE LIMITED SR XVIII TR3 9.95 NCD 28NV26 FVRS1LAC","99.5453","99.5453","10.3186","10.5500","0.05","1"
"INE572J07711","SPANDANA SPHOORTY FINANCIAL LIMITED 9.84 NCD 28JU26 FVRS1LAC","98.1960","98.1960","7.6935","11.4300","0.03","1"
"INE572J07653","SPANDANA SPHOORTY FINANCIAL LIMITED 10.11 NCD 18DC25 FVRS1LAC","98.4209","98.4209","11.8000","11.8000","0.03","1"
"INE321N07368","INCRED FINANCIAL SERVICES LIMITED SR IV 10.30 NCD 10NV26 FVRS1000","99.5346","99.5346","10.6000","10.6000","0.03","1"
"INE605Y07148","AUXILO FINSERVE PRIVATE LIMITED SR 002 9.90 NCD 18DC26 FVRS1LAC","98.1315","98.1315","10.7500","10.7500","0.02","1"
"INE157D07EE5","CLIX CAPITAL SERVICES PRIVATE LIMITED 10.20% NCD 10NV25 FVRS1LAC","99.1937","99.1937","11.3000","11.3000","0.02","1"
"INE982X08042","SATYA MICROCAPITAL LIMITED VCPL SR 2 14.27 NCD 08JL26 FVRS10","101.4100","101.4100","14.0500","14.0500","0.02","1"
"INE01HV07403","VIVRITI CAPITAL LIMITED SR II 10 NCD 06MR25 FVRS1000","99.6993","99.6993","10.6000","10.6000","0.02","1"
